# From Valeria:
# We blasted human mitochondrial proteins against proteins from alpha-proteobacteria group (100 species for each of 10 genes in result). 
# Then FASTA with flat query-anchored alignment sequences was parced to count the amount of aminoacids in every sequence, exclude genes ATP8, ND6 and ND4L.
;HumanGeneAnalog;GeneName;Ala;Arg;Asn;Asp;Cys;Gln;Glu;Gly;His;Ile;Leu;Lys;Met;Phe;Pro;Ser;Thr;Trp;Tyr;Val
178;COX1;cytochrome c oxidase, subunit I [alpha proteobacterium HIMB114];45;11;15;12;0;6;9;57;17;37;55;9;25;49;29;27;32;16;21;39
179;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];46;12;13;13;0;3;9;55;16;39;50;8;29;48;26;26;32;15;22;42
180;COX1;cytochrome c oxidase subunit I [Pelagibacteraceae bacterium];45;11;15;12;0;6;9;57;17;37;55;9;25;49;29;27;32;16;21;39
181;COX1;cytochrome c oxidase subunit I [Rickettsiales bacterium];46;10;20;16;0;9;6;47;17;41;61;7;26;44;31;35;30;13;22;39
182;COX1;cytochrome c oxidase subunit I [Candidatus Pelagibacter sp. IMCC9063];40;8;17;12;0;7;9;59;16;37;50;11;27;50;29;29;31;16;21;43
183;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];48;12;14;12;0;2;10;55;16;37;50;8;30;48;27;24;33;14;23;45
184;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];47;9;16;13;1;8;11;55;16;41;50;10;25;46;29;29;30;15;20;41
185;COX1;cytochrome c oxidase subunit I [Candidatus Pelagibacter sp.];43;10;15;13;0;7;8;57;18;42;53;9;24;50;27;30;32;16;19;38
186;COX1;cytochrome c oxidase subunit I [SAR116 cluster bacterium MED-G06];45;13;13;13;0;3;10;55;16;40;51;8;28;50;26;27;32;16;21;41
187;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];44;8;16;13;0;6;10;61;16;46;49;12;31;51;31;23;24;16;20;41
188;COX1;cytochrome c oxidase subunit I [Cohaesibacter marisflavi];42;10;13;15;1;9;11;57;17;41;52;12;24;51;32;25;26;17;22;34
189;COX1;cytochrome c oxidase subunit I [alpha proteobacterium HIMB114];44;10;16;13;0;7;8;57;18;37;53;8;25;50;28;29;30;16;19;42
190;COX1;cytochrome c oxidase subunit I [SAR116 cluster bacterium];46;12;13;14;0;2;11;55;16;38;50;8;29;47;27;26;32;15;22;44
191;COX1;MULTISPECIES: cytochrome c oxidase subunit I [Rhizobium/Agrobacterium group];52;11;14;15;0;11;9;56;16;44;52;9;28;47;30;28;28;17;26;37
192;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];48;14;14;15;0;4;7;58;16;38;54;6;30;51;29;21;35;15;20;35
193;COX1;cytochrome c oxidase subunit I [Rhodospirillaceae bacterium];48;14;14;15;0;4;7;58;16;39;53;6;30;51;29;21;35;15;20;35
194;COX1;cytochrome c oxidase subunit I [Alphaproteobacteria bacterium];47;12;14;12;0;2;10;55;16;36;51;8;29;48;28;24;33;14;23;46
195;COX1;cytochrome c oxidase subunit I [Aureimonas sp. AU12];50;11;16;9;0;8;10;56;16;40;48;10;25;45;30;23;30;16;24;42
196;COX1;cytochrome c oxidase subunit I [SAR116 cluster bacterium];46;12;13;14;0;2;11;55;15;39;50;8;29;47;27;26;32;15;22;44
197;COX1;cytochrome c oxidase subunit 1 [Pelagibacterales bacterium];41;10;15;11;0;5;9;60;17;41;53;13;26;49;29;29;28;16;22;40
198;COX1;cytochrome c oxidase subunit I [Candidatus Fonsibacter sp.];41;10;15;11;0;5;9;60;17;41;53;13;26;49;29;29;28;16;22;40
199;COX1;cytochrome c oxidase subunit I [Pelagibacteraceae bacterium];44;11;16;12;0;7;9;57;18;37;53;8;25;48;28;29;31;16;20;42
200;COX1;cytochrome c oxidase subunit I [Neorhizobium galegae];51;11;13;13;0;12;9;59;18;42;52;9;29;50;29;26;26;18;23;39
201;COX2;cytochrome c oxidase subunit II [Rickettsiales bacterium];14;6;6;10;3;7;17;12;9;12;27;5;6;11;14;11;11;6;8;31
202;COX2;Cytochrome c oxidase subunit 2 precursor [Candidatus Hodgkinia cicadicola];7;12;14;9;3;8;11;6;5;36;28;4;2;17;10;14;10;5;7;11
203;COX2;cytochrome c oxidase subunit II [Rickettsiaceae bacterium];15;7;7;14;4;10;12;11;8;21;21;5;6;11;11;14;8;5;9;23
204;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];15;6;6;16;4;9;10;13;7;19;21;5;6;13;11;13;13;6;7;22
205;COX2;cytochrome c oxidase subunit II [Komagataeibacter rhaeticus];11;5;7;14;3;8;14;15;6;21;21;5;4;13;9;16;10;4;10;24
206;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];14;10;8;14;2;7;6;11;6;13;23;5;4;11;14;10;21;5;8;29
207;COX2;cytochrome c oxidase subunit II [Indioceanicola profundi];24;9;8;9;2;9;12;13;4;12;20;7;5;9;13;9;9;5;10;30
208;COX2;cytochrome c oxidase subunit II [Niveispirillum cyanobacteriorum];15;10;8;7;2;7;15;14;8;18;22;7;6;10;14;8;13;6;8;22
209;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];14;8;7;11;3;6;11;15;5;21;20;14;6;10;12;8;15;5;8;25
210;COX2;cytochrome C oxidase subunit II [alpha proteobacterium AAP38];15;10;8;7;2;7;15;14;8;18;22;7;6;10;14;8;13;6;8;22
211;COX2;cytochrome c oxidase subunit II [Niveispirillum lacus];16;10;8;7;2;6;15;14;8;19;21;8;6;10;14;7;13;6;8;22
212;COX2;cytochrome c oxidase subunit II [Rickettsiales bacterium];11;5;5;14;4;10;14;15;6;20;19;6;6;13;9;15;13;4;12;23
213;COX2;cytochrome c oxidase subunit II [Azospirillum lipoferum];16;9;8;9;3;6;13;12;8;15;18;10;4;9;14;13;11;6;9;30
214;COX2;cytochrome c oxidase subunit II [Micavibrio sp.];17;8;8;11;2;5;12;13;6;20;20;10;10;8;17;8;13;7;10;20
215;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];13;12;7;9;2;6;13;11;7;16;23;7;9;8;13;10;15;5;9;25
216;COX2;cytochrome c oxidase subunit II [Rickettsiaceae bacterium];8;4;13;10;3;8;10;10;8;16;31;11;7;21;12;13;11;4;10;24
217;COX2;cytochrome c oxidase subunit II [Azospirillum sp. K2W22B-5];20;10;7;9;3;8;12;12;7;16;19;11;6;8;13;10;11;6;9;26
218;COX2;cytochrome c oxidase subunit II [Rickettsiales bacterium];13;4;6;10;5;8;15;16;6;20;21;12;5;11;9;10;13;5;11;24
219;COX2;cytochrome c oxidase subunit 2 [Aquabacter spiritensis];15;9;9;10;2;7;10;10;6;15;18;7;7;11;15;12;11;4;5;31
220;COX2;cytochrome c oxidase subunit II [Aquabacter spiritensis];15;9;9;10;2;7;10;10;6;15;18;7;7;11;15;12;11;4;5;31
221;COX2;cytochrome c oxidase subunit II [Xanthobacter tagetidis];18;11;11;12;2;8;11;12;6;15;26;7;4;10;14;9;11;5;6;29
222;COX2;MULTISPECIES: cytochrome c oxidase subunit II [unclassified Azospirillum];19;12;6;11;2;9;13;13;9;15;22;7;7;11;13;8;14;4;5;22
223;COX2;cytochrome c oxidase subunit II [Rhodospirillales bacterium];12;11;9;12;2;4;9;11;6;18;20;9;6;8;13;10;12;6;8;30
224;COX2;cytochrome c oxidase subunit II [Rickettsiales bacterium];7;4;13;10;3;7;10;10;8;17;31;11;5;22;12;16;10;4;10;24
225;COX2;cytochrome c oxidase subunit II, partial [Rickettsiaceae bacterium];11;5;6;16;5;7;11;16;6;19;22;6;4;14;9;19;9;4;11;25
226;COX2;cytochrome c oxidase subunit II [Haematospirillum sp. H1815];16;9;5;11;2;7;10;16;7;11;22;8;9;8;12;13;15;6;8;25
227;COX2;cytochrome c oxidase subunit II [Niveispirillum sp. SYP-B3756];19;12;6;11;2;9;13;13;9;14;22;7;7;11;13;8;14;4;5;23
228;COX2;cytochrome c oxidase subunit II [Niveispirillum irakense];15;13;4;9;2;7;15;14;8;12;24;7;7;10;14;11;15;5;7;23
229;COX2;cytochrome C oxidase subunit II [Rhodospirillaceae bacterium BRH_c57];14;10;7;12;2;8;13;15;6;14;19;5;8;11;15;11;10;8;8;24
230;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];13;9;11;12;2;8;10;10;5;17;19;10;4;12;11;8;17;5;6;29
231;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium 43-37];12;6;5;10;4;12;12;10;6;26;17;14;7;9;12;12;11;5;8;21
232;COX2;cytochrome c oxidase subunit II [Geminicoccaceae bacterium];31;11;4;9;3;5;14;12;5;17;21;4;4;11;14;5;15;6;7;22
233;COX2;cytochrome c oxidase subunit 2 [Alphaproteobacteria bacterium MarineAlpha2_Bin1];11;9;12;10;2;4;13;10;7;22;17;9;11;13;13;10;13;5;8;20
234;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];13;9;11;12;2;8;10;10;6;17;20;10;4;12;11;8;17;5;6;30
235;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];11;9;10;10;2;4;13;10;7;21;16;10;11;12;13;11;13;5;8;23
236;COX2;cytochrome c oxidase subunit II [Rhodospirillales bacterium];15;8;11;10;2;4;14;8;5;24;18;10;5;11;14;13;9;5;6;25
237;COX2;cytochrome c oxidase, subunit II [Azospirillum lipoferum 4B];17;10;7;8;3;4;15;12;6;17;14;9;9;8;14;12;14;5;9;27
238;COX2;cytochrome c oxidase subunit II [Azospirillum lipoferum];17;10;7;8;3;4;15;12;6;17;14;9;9;8;14;12;14;5;9;27
239;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];13;12;9;8;2;9;13;10;6;14;20;6;11;12;14;10;16;6;8;25
240;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];15;11;6;12;2;5;11;12;8;24;18;7;7;12;14;8;15;6;6;21
241;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];14;8;11;12;2;8;11;10;6;17;20;10;4;12;11;8;17;5;6;29
242;COX2;cytochrome c oxidase subunit II, partial [Alphaproteobacteria bacterium];14;8;7;12;2;6;8;12;6;15;19;9;8;8;14;5;14;5;8;34
243;COX2;cytochrome c oxidase subunit II [Geminicoccaceae bacterium];25;10;5;11;4;5;14;12;4;16;20;6;5;10;14;5;16;5;8;25
244;COX2;cytochrome c oxidase subunit II [Oleisolibacter albus];21;13;5;9;2;7;17;15;7;14;25;7;4;9;14;7;11;6;8;21
245;COX2;cytochrome c oxidase subunit II [Azospirillum humicireducens];17;10;7;8;3;4;15;12;6;18;14;10;9;8;14;12;13;5;9;26
246;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];17;9;9;11;2;7;10;12;5;16;22;8;9;12;13;8;15;5;9;20
247;COX2;cytochrome c oxidase subunit II [Rickettsiales bacterium];13;6;10;8;4;9;9;11;6;20;20;11;9;9;16;11;9;8;11;20
248;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];11;9;11;11;2;4;13;10;7;23;17;9;11;12;13;10;13;5;8;20
249;COX2;cytochrome c oxidase subunit II [Tagaea sp. CACIAM 22H2];16;10;8;10;2;11;8;13;6;13;21;7;9;11;16;9;10;5;9;26
250;COX2;cytochrome c oxidase subunit II [Tistrella sp.];15;12;9;10;3;4;15;15;8;17;23;7;5;12;13;11;9;5;7;25
251;COX2;cytochrome c oxidase subunit II [Azospirillum sp. B21];16;10;7;8;3;4;15;13;6;18;14;10;9;8;14;12;13;5;9;26
252;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];13;5;7;10;4;6;9;14;8;16;17;13;10;10;17;12;12;8;11;18
253;COX2;cytochrome c oxidase subunit II [Azospirillum doebereinerae];15;9;9;10;3;7;11;11;8;16;19;11;4;8;15;13;10;6;8;30
254;COX2;cytochrome c oxidase subunit II [Skermanella pratensis];15;10;10;11;2;8;13;11;6;19;23;8;6;6;12;9;14;5;9;22
255;COX2;cytochrome c oxidase subunit II [Phenylobacterium zucineum];9;5;9;10;4;4;8;10;5;23;28;8;2;14;8;17;7;4;8;22
256;COX2;cytochrome c oxidase subunit II [Rhizobiales bacterium];23;9;6;13;3;6;14;11;7;17;21;7;7;11;11;10;13;6;9;18
257;COX2;cytochrome c oxidase subunit II [Haematospirillum jordaniae];17;9;5;12;2;7;9;15;7;9;22;8;9;8;12;13;15;6;8;27
258;COX2;cytochrome c oxidase subunit II [Tistrella bauzanensis];12;10;9;8;2;6;15;12;7;16;20;6;6;12;13;12;8;4;7;27
259;COX2;cytochrome c oxidase subunit II [Azospirillum halopraeferens];16;12;5;10;3;6;13;11;5;19;14;4;6;9;13;11;17;6;8;26
260;COX2;cytochrome c oxidase subunit II [Stella humosa];12;10;10;9;2;9;9;15;5;16;20;8;6;11;13;8;14;6;8;27
261;COX2;MULTISPECIES: cytochrome c oxidase subunit II [unclassified Haematospirillum];16;9;5;11;2;7;10;15;7;9;22;8;9;8;12;14;14;6;8;28
262;COX2;cytochrome c oxidase subunit II [Tistrella sp.];15;12;9;10;3;4;15;15;8;17;24;7;4;12;13;11;9;5;7;25
263;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium CG_4_10_14_0_8_um_filter_37_21];9;6;5;12;2;7;8;12;7;24;19;14;9;9;16;9;15;4;10;21
264;COX2;cytochrome c oxidase subunit II [Tistrella mobilis];15;12;9;10;3;4;15;15;8;16;24;7;4;12;13;11;9;5;7;26
265;COX2;cytochrome c oxidase subunit II [Tistrella mobilis];15;12;9;10;3;4;15;15;8;16;24;7;4;12;13;11;9;5;7;26
266;COX2;cytochrome c oxidase subunit II [Kiloniella laminariae];20;6;7;11;2;7;17;12;5;20;21;10;8;11;13;10;19;5;10;17
267;COX2;cytochrome c oxidase subunit II [Pelagibacteraceae bacterium TMED259];9;5;11;10;2;10;14;12;6;15;21;9;6;11;13;10;18;6;9;26
268;COX2;cytochrome c oxidase subunit II [Skermanella aerolata];14;9;9;12;2;8;13;10;8;18;23;9;6;6;13;10;16;6;9;23
269;COX2;cytochrome C oxidase subunit II [Candidatus Nucleicultrix amoebiphila FS5];12;6;6;12;2;8;12;8;7;18;21;13;9;13;13;12;11;6;7;25
270;COX2;cytochrome c oxidase subunit II [Candidatus Nucleicultrix amoebiphila];12;6;6;12;2;8;12;8;7;18;21;13;9;13;13;12;11;6;7;25
271;COX2;cytochrome c oxidase subunit II [Sneathiella chungangensis];15;9;6;11;2;6;14;11;6;19;26;8;12;7;10;9;12;6;8;17
272;COX2;cytochrome c oxidase subunit II [Haematospirillum jordaniae];17;9;6;11;2;7;9;15;7;9;22;8;9;8;12;13;15;6;8;27
273;COX2;cytochrome c oxidase subunit II [Parvibaculum sp.];15;8;6;13;2;7;16;10;4;17;23;7;6;12;12;9;15;6;7;24
274;COX2;cytochrome c oxidase subunit II [Haematospirillum jordaniae];17;9;5;12;2;7;9;15;7;10;22;8;9;8;12;13;14;6;8;27
275;COX2;cytochrome c oxidase, subunit II [alpha proteobacterium HIMB59];9;5;10;14;2;9;13;11;6;13;24;9;8;11;13;11;16;6;9;24
276;COX2;cytochrome c oxidase subunit II [Azorhizobium doebereinerae];12;7;8;10;2;7;11;12;7;15;19;9;5;12;14;15;15;4;6;30
277;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];16;11;11;8;2;8;10;12;6;18;20;7;8;11;13;10;11;5;9;23
278;COX2;cytochrome c oxidase subunit II [Azospirillum sp.];17;9;11;11;2;6;12;12;8;18;20;9;4;12;12;11;11;6;7;26
279;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];17;7;9;12;3;11;13;11;5;18;23;7;8;10;15;12;11;6;7;19
280;COX2;cytochrome c oxidase subunit II [alpha proteobacterium HIMB59];10;5;10;12;2;10;12;12;6;16;21;9;6;11;13;11;17;6;9;25
281;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];15;9;8;14;2;8;11;11;5;15;19;6;4;12;12;9;15;5;9;31
282;COX2;cytochrome c oxidase subunit II [Sneathiella glossodoripedis];19;7;8;10;2;6;13;13;7;17;22;9;8;11;10;7;11;5;9;20
283;COX2;cytochrome c oxidase subunit II [Holosporales bacterium];10;6;5;13;2;8;10;11;8;24;20;14;7;9;16;11;12;4;11;22
284;COX2;cytochrome c oxidase subunit II [Rhodospirillales bacterium 47_12_T64];18;5;7;11;2;6;16;13;5;20;21;11;6;11;14;10;20;6;11;15
285;COX2;cytochrome c oxidase subunit II [Skermanella stibiiresistens];16;9;10;11;2;8;14;10;6;18;23;9;6;5;12;10;14;6;10;23
286;COX2;cytochrome c oxidase subunit II [Rhodospirillaceae bacterium];20;10;7;11;3;9;8;13;4;21;15;7;9;8;15;8;17;8;7;18
287;COX2;cytochrome c oxidase subunit II [Rhodospirillales bacterium];15;6;11;7;4;11;12;8;7;14;20;8;6;12;15;13;16;7;7;20
288;COX2;cytochrome c oxidase subunit II [Caenispirillum salinarum];15;7;9;11;3;6;15;12;6;19;22;8;10;9;16;9;14;4;9;16
289;COX2;cytochrome c oxidase subunit II [Rhodospirillales bacterium];15;7;11;7;4;10;12;8;7;14;20;8;6;12;15;13;16;7;7;20
290;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];22;12;9;13;2;9;8;11;6;12;22;4;11;9;17;9;13;9;5;21
291;COX2;cytochrome c oxidase subunit II [Terasakiella pusilla];10;7;7;14;2;5;13;11;7;16;26;8;7;10;13;11;15;7;7;21
292;COX2;cytochrome c oxidase subunit II [Rhizobiales bacterium 35-68-8];16;7;11;10;2;7;9;10;6;17;18;9;6;11;15;11;10;4;5;30
293;COX2;cytochrome c oxidase subunit II [Parvibaculum sedimenti];18;5;8;10;2;5;9;12;4;17;20;11;8;10;13;10;18;4;8;27
294;COX2;Cytochrome c oxidase subunit 2 precursor [Rickettsiales bacterium Ac37b];10;6;12;11;4;6;10;7;6;26;17;11;7;5;14;10;15;7;10;21
295;COX2;cytochrome c oxidase subunit II [Methylocystaceae bacterium];11;6;8;12;2;5;11;13;8;14;25;10;5;9;13;12;13;6;8;26
296;COX2;hypothetical protein RLOatenuis_8470 [Rickettsiales bacterium];15;7;7;15;3;5;11;11;8;14;20;10;9;15;13;11;9;6;7;21
297;COX2;cytochrome c oxidase subunit II [Candidatus Paracaedibacter symbiosus];13;7;5;7;3;8;13;12;7;17;24;12;5;9;12;11;11;4;7;26
298;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];22;12;9;13;2;9;8;10;6;12;23;4;11;9;17;10;13;9;5;20
299;COX2;cytochrome c oxidase subunit II [Roseospira navarrensis];19;12;5;12;3;6;12;11;8;13;25;5;8;11;15;10;10;6;8;21
300;COX2;cytochrome c oxidase subunit II [Alphaproteobacteria bacterium];18;6;6;15;2;6;13;13;6;18;26;7;5;16;15;8;13;5;7;15
301;COX3;cytochrome c oxidase subunit 3 [Sneathiella sp. P13V-1];30;5;2;8;2;8;8;21;17;16;24;5;8;22;9;9;16;14;11;23
302;COX3;cytochrome c oxidase subunit 3 [Sneathiella aquimaris];29;4;2;8;1;7;8;23;16;16;22;6;8;24;9;9;18;14;11;23
303;COX3;cytochrome c oxidase subunit 3 [Rhodospirillaceae bacterium];23;5;4;4;2;8;8;21;15;18;24;4;5;31;11;14;17;12;8;26
304;COX3;cytochrome c oxidase subunit 3 [Oceanibacterium hippocampi];21;5;4;9;4;5;8;25;14;13;26;3;10;25;10;8;18;14;11;24
305;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];25;7;2;7;3;4;6;25;13;10;29;8;9;23;13;11;11;12;12;27
306;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium 46_93_T64];24;4;2;7;1;7;8;23;17;16;26;6;7;25;9;10;18;13;11;24
307;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];25;7;4;5;4;6;8;30;14;15;24;2;6;24;11;8;16;16;9;24
308;COX3;cytochrome c oxidase subunit 3 [Sneathiella sp.];25;5;2;8;2;7;8;23;17;14;22;4;8;25;11;8;18;14;11;26
309;COX3;cytochrome c oxidase subunit 3 [Sneathiella limimaris];32;4;3;8;2;5;9;21;16;17;21;6;7;23;9;8;16;14;12;25
310;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];26;5;3;8;3;3;7;25;13;18;26;8;8;29;11;9;18;13;9;16
311;COX3;cytochrome c oxidase subunit 3 [Rhodospirillaceae bacterium];31;6;3;9;2;9;7;21;10;16;24;5;9;27;13;7;17;16;9;22
312;COX3;cytochrome B562 [Pelagibacterales bacterium];20;4;3;12;2;2;6;21;14;19;32;9;6;24;9;15;14;12;13;21
313;COX3;cytochrome c oxidase subunit 3 [Rhodospirillaceae bacterium];25;6;2;7;3;4;11;28;16;17;27;3;7;26;10;9;14;14;8;23
314;COX3;cytochrome c oxidase subunit 3 [Ferrovibrio sp.];29;6;5;8;2;4;8;20;19;15;23;3;8;25;11;7;18;14;12;21
315;COX3;cytochrome c oxidase subunit 3 [Candidatus Pelagibacter sp.];23;6;4;9;2;6;8;20;13;25;22;7;10;23;10;10;19;13;14;16
316;COX3;cytochrome c oxidase subunit 3 [Elioraea tepidiphila];23;11;2;5;4;3;10;21;14;10;28;3;6;30;16;7;16;13;9;28
317;COX3;cytochrome c oxidase subunit 3 [Pelagibacteraceae bacterium];24;4;6;8;2;3;10;20;16;16;25;7;6;28;10;11;16;13;12;23
318;COX3;cytochrome c oxidase subunit 3 [Sneathiella sp.];26;4;2;9;3;5;8;24;17;15;24;5;6;24;11;10;15;14;11;25
319;COX3;cytochrome c oxidase subunit 3 [Rhodospirillales bacterium];25;4;2;7;2;5;9;23;15;14;25;2;11;27;12;9;20;15;12;19
320;COX3;cytochrome c oxidase subunit 3 [Candidatus Pelagibacter sp.];23;4;4;8;2;3;10;19;14;18;29;9;9;25;10;11;16;12;14;20
321;COX3;cytochrome c oxidase subunit 3 [Kordiimonas sp.];19;3;4;10;1;4;8;28;15;19;28;5;8;23;10;12;16;12;12;21
322;COX3;cytochrome c oxidase subunit 3 [Candidatus Pelagibacter sp.];23;5;4;9;2;5;8;20;13;25;23;9;9;23;10;10;18;13;14;17
323;COX3;cytochrome c oxidase subunit 3 [Rickettsiaceae bacterium];24;7;3;5;2;6;6;25;15;17;25;1;6;31;10;14;14;12;12;25
324;COX3;cytochrome c oxidase subunit 3 [Pelagibacteraceae bacterium];25;5;3;9;2;7;7;23;17;19;28;3;6;24;10;13;15;12;13;18
325;COX3;cytochrome c oxidase subunit 3 [Rhodobiaceae bacterium];23;5;3;9;2;7;8;24;17;19;29;3;7;24;10;13;15;12;13;17
326;COX3;cytochrome c oxidase subunit III [Kordiimonadales bacterium JCM 17844];24;5;3;10;2;3;7;25;14;16;27;2;7;24;10;12;16;14;14;23
327;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];29;5;3;9;3;5;8;26;16;17;25;4;6;21;12;8;13;12;11;24
328;COX3;cytochrome c oxidase subunit 3 [Roseomonas sp. BU-1];28;6;3;6;3;2;8;25;14;12;35;4;6;31;13;10;15;12;9;20
329;COX3;cytochrome c oxidase subunit 3 [Sneathiella sp. DP05];25;3;3;7;2;5;8;25;17;12;25;6;7;24;11;9;17;14;11;27
330;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];23;6;5;6;2;8;8;26;15;14;19;2;10;30;11;9;14;14;10;26
331;COX3;cytochrome c oxidase subunit 3 [Iodidimonas muriae];25;5;3;10;2;3;7;25;14;16;27;2;7;24;9;13;16;14;14;22
332;COX3;cytochrome c oxidase subunit 3 [alpha proteobacterium Q-1];22;6;2;8;1;5;9;26;13;16;30;4;7;23;9;15;14;13;14;21
333;COX3;cytochrome B562 [alpha proteobacterium QL1];19;4;3;10;1;6;6;21;14;22;28;9;5;25;11;14;13;12;13;24
334;COX3;cytochrome c oxidase subunit 3 [Rickettsiaceae bacterium];23;4;5;5;1;4;8;25;14;22;30;1;8;25;8;14;24;8;11;20
335;COX3;cytochrome c oxidase subunit 3 [Lutibaculum baratangense];26;6;4;8;1;3;9;25;20;21;29;3;7;21;11;9;17;14;11;21
336;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];25;8;3;7;2;6;8;24;18;13;25;2;13;27;10;7;13;10;14;22
337;COX3;cytochrome c oxidase subunit 3 [Rickettsiales bacterium];20;4;2;6;4;5;10;26;14;18;26;3;6;30;11;16;17;14;9;21
338;COX3;cytochrome c oxidase subunit 3 [Pelagibacteraceae bacterium];23;4;5;9;2;3;7;20;17;17;24;7;6;27;11;12;18;13;12;21
339;COX3;cytochrome c oxidase subunit 3 [Pelagibacterales bacterium];20;6;3;6;2;4;6;18;13;20;25;4;7;31;10;19;19;12;8;25
340;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];25;7;1;6;3;3;7;24;15;15;27;2;5;29;13;10;19;13;10;20
341;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];24;4;2;8;3;5;8;24;18;15;24;6;6;25;11;10;19;14;9;23
342;COX3;cytochrome c oxidase subunit 3 [Rickettsiaceae bacterium];23;4;5;5;1;4;8;25;14;22;30;1;7;25;8;14;25;8;11;20
343;COX3;cytochrome c oxidase subunit 3 [Nisaea sp. NBU1469];24;6;2;9;3;6;9;25;15;16;22;2;10;30;10;12;15;13;11;18
344;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];21;6;1;6;4;4;7;26;15;16;26;3;5;29;14;11;16;13;10;21
345;COX3;cytochrome c oxidase subunit 3 [Pelagibacterales bacterium SAG-MED28];23;4;5;9;2;3;9;20;17;18;23;6;6;27;10;12;18;13;12;21
346;COX3;cytochrome c oxidase subunit 3 [Oceanibaculum indicum];30;7;4;8;3;6;8;21;13;13;26;2;7;30;10;9;16;13;11;23
347;COX3;cytochrome c oxidase subunit 3 [Rhodospirillaceae bacterium];24;5;4;6;2;6;9;26;14;15;23;3;8;30;11;10;15;14;11;22
348;COX3;cytochrome c oxidase subunit 3 [Oceanibaculum indicum];30;7;4;8;3;6;8;21;13;13;27;2;6;30;10;9;16;13;11;23
349;COX3;cytochrome c oxidase subunit 3 [Ferrovibrio terrae];29;6;3;9;2;3;7;22;19;12;26;3;7;26;11;9;15;14;12;23
350;COX3;cytochrome c oxidase subunit 3 [Siccirubricoccus sp. 1-3];23;7;1;5;3;2;7;26;17;15;30;5;8;29;14;8;17;13;9;22
351;COX3;cytochrome c oxidase subunit 3 [Roseomonas deserti];26;8;2;6;4;2;8;26;15;16;30;4;6;30;13;9;14;12;9;22
352;COX3;cytochrome c oxidase subunit 3 [Pelagibacteraceae bacterium TMED170];23;4;6;8;2;3;10;19;17;19;25;6;6;25;11;12;19;13;12;18
353;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];23;5;2;9;1;3;6;26;14;14;30;6;8;21;8;14;17;15;11;25
354;COX3;cytochrome c oxidase subunit 3 [Oceanibaculum nanhaiense];29;7;3;8;3;6;7;23;13;16;25;3;7;30;10;9;16;13;11;21
355;COX3;cytochrome c oxidase subunit 3 [Alphaproteobacteria bacterium];23;7;4;5;2;4;10;26;14;14;30;2;5;25;11;12;15;15;11;23
356;COX3;cytochrome c oxidase subunit 3 [SAR116 cluster bacterium];19;6;3;9;3;6;9;23;15;15;27;3;7;30;10;9;17;11;13;19
357;COX3;cytochrome c oxidase subunit 3 [Candidatus Fonsibacter ubiquis];20;4;3;12;2;2;6;21;14;19;33;9;6;24;9;15;13;12;13;21
358;COX3;cytochrome c oxidase subunit 3 [Sneathiella chungangensis];28;4;3;7;2;6;8;25;17;13;26;5;6;25;11;6;16;14;10;26
